1009.65,87,54
1009.7,88,54
1009.75,86,54
1009.8,86,54
1009.85,84,53
1009.9,85,54
1009.95,86,54
1010,85,53
1010.05,87,55
1010.1,87,56
1010.15,85,54
1010.2,86,52
1010.25,83,53
1010.3,84,54
1010.35,86,55
1010.4,86,54
1010.45,85,55
1010.5,85,55
1010.55,84,54
1010.6,84,52
1010.65,83,54
1010.7,82,54
1010.75,88,54
1010.8,88,53
1010.85,88,54
1010.9,87,54
1010.95,88,56
1011,91,55
1011.05,91,55
1011.1,88,52
1011.15,83,52
1011.2,88,53
1011.25,88,57
1011.3,86,56
1011.35,85,55
1011.4,87,52
1011.45,84,54
1011.5,86,54
1011.55,87,56
1011.6,87,54
1011.65,86,56
1011.7,87,52
1011.75,86,52
1011.8,85,54
1011.85,84,53
1011.9,82,52
1011.95,83,54
1012,86,55
1012.05,87,56
1012.1,86,55
1012.15,85,55
1012.2,84,53
1012.25,81,53
1012.3,81,53
1012.35,85,55
1012.4,90,55
1012.45,88,54
1012.5,88,53
1012.55,89,55
1012.6,90,53
1012.65,90,53
1012.7,88,54
1012.75,86,54
1012.8,86,55
1012.85,88,55
1012.9,88,53
1012.95,86,53
1013,85,53
1013.05,87,53
1013.1,84,56
1013.15,83,57
1013.2,83,58
1013.25,80,59
1013.3,82,60
1013.35,81,58
1013.4,80,60
1013.45,79,60
1013.5,78,59
1013.55,79,60
1013.6,79,60
1013.65,78,60
1013.7,77,61
1013.75,75,64
1013.8,73,67
1013.85,74,68
1013.9,74,65
1013.95,69,64
1014,68,65
1014.05,73,65
1014.1,79,66
1014.15,78,67
1014.2,77,66
1014.25,77,64
1014.3,78,66
1014.35,78,65
1014.4,77,64
1014.45,76,64
1014.5,76,65
1014.55,73,67
1014.6,74,67
1014.65,74,70
1014.7,72,70
1014.75,68,69
1014.8,68,70
1014.85,69,70
1014.9,69,68
1014.95,69,69
1015,70,72
1015.05,71,75
1015.1,67,74
1015.15,64,75
1015.2,65,75
1015.25,64,74
1015.3,65,74
1015.35,65,76
1015.4,65,77
1015.45,63,74
1015.5,62,75
1015.55,62,76
1015.6,62,75
1015.65,65,74
1015.7,66,75
1015.75,64,74
1015.8,63,77
1015.85,66,76
1015.9,65,75
1015.95,61,73
1016,62,76
1016.05,62,76
1016.1,66,76
1016.15,69,76
1016.2,67,74
1016.25,64,75
1016.3,65,75
1016.35,67,74
1016.4,66,75
1016.45,68,76
1016.5,68,76
1016.55,66,74
1016.6,65,75
1016.65,64,74
1016.7,67,75
1016.75,68,76
1016.8,67,76
1016.85,66,74
1016.9,64,74
1016.95,63,73
1017,65,74
1017.05,64,74
1017.1,64,74
1017.15,66,76
1017.2,68,78
1017.25,65,76
1017.3,64,74
1017.35,64,75
1017.4,64,76
1017.45,64,75
1017.5,65,76
1017.55,67,76
1017.6,62,72
1017.65,62,74
1017.7,63,75
1017.75,64,76
1017.8,65,76
1017.85,67,74
1017.9,67,72
1017.95,68,71
1018,69,70
1018.05,69,70
1018.1,66,70
1018.15,66,70
1018.2,68,69
1018.25,72,71
1018.3,73,70
1018.35,74,66
